device_name	core	die	ram_kb	flash_kb	core_count
STM32F100VETx	Cortex-M3	DIE428	32	512	1
STM32F100ZCTx	Cortex-M3	DIE428	24	256	1
STM32F100ZDTx	Cortex-M3	DIE428	32	384	1
STM32F100ZETx	Cortex-M3	DIE428	32	512	1
STM32F101C4Tx	Cortex-M3	DIE412	4	16	1
STM32F101C6Tx	Cortex-M3	DIE412	6	32	1
STM32F101C8Tx	Cortex-M3	DIE410	10	64	1
STM32F101C8Ux	Cortex-M3	DIE410	10	64	1
STM32F101CBTx	Cortex-M3	DIE410	16	128	1
STM32F101CBUx	Cortex-M3	DIE410	16	128	1
STM32F101R4Tx	Cortex-M3	DIE412	4	16	1
STM32F101R6Tx	Cortex-M3	DIE412	6	32	1
STM32F101R8Tx	Cortex-M3	DIE410	10	64	1
STM32F101RBHx	Cortex-M3	DIE410	16	128	1
STM32F101RBTx	Cortex-M3	DIE410	16	128	1
STM32F101RCTx	Cortex-M3	DIE414	32	256	1
STM32F101RDTx	Cortex-M3	DIE414	48	384	1
STM32F101RETx	Cortex-M3	DIE414	48	512	1
STM32F101RFTx	Cortex-M3	DIE430	80	768	1
STM32F101RGTx	Cortex-M3	DIE430	80	1024	1
STM32F101T4Ux	Cortex-M3	DIE412	4	16	1
STM32F101T6Ux	Cortex-M3	DIE412	6	32	1
STM32F101T8Ux	Cortex-M3	DIE410	10	64	1
STM32F101TBUx	Cortex-M3	DIE410	16	128	1
STM32F101V8Tx	Cortex-M3	DIE410	10	64	1
STM32F101VBTx	Cortex-M3	DIE410	16	128	1
STM32F101VCTx	Cortex-M3	DIE414	32	256	1
STM32F101VDTx	Cortex-M3	DIE414	48	384	1
STM32F101VETx	Cortex-M3	DIE414	48	512	1
STM32F101VFTx	Cortex-M3	DIE430	80	768	1
STM32F101VGTx	Cortex-M3	DIE430	80	1024	1
STM32F101ZCTx	Cortex-M3	DIE414	32	256	1
STM32F101ZDTx	Cortex-M3	DIE414	48	384	1
STM32F101ZETx	Cortex-M3	DIE414	48	512	1
STM32F101ZFTx	Cortex-M3	DIE430	80	768	1
STM32F101ZGTx	Cortex-M3	DIE430	80	1024	1
STM32F102C4Tx	Cortex-M3	DIE412	4	16	1
STM32F102C6Tx	Cortex-M3	DIE412	6	32	1
STM32F102C8Tx	Cortex-M3	DIE410	10	64	1
STM32F102CBTx	Cortex-M3	DIE410	16	128	1
STM32F102R4Tx	Cortex-M3	DIE412	4	16	1
STM32F102R6Tx	Cortex-M3	DIE412	6	32	1
STM32F102R8Tx	Cortex-M3	DIE410	10	64	1
STM32F102RBTx	Cortex-M3	DIE410	16	128	1
STM32F103C4Tx	Cortex-M3	DIE412	6	16	1
STM32F103C6Tx	Cortex-M3	DIE412	10	32	1
STM32F103C6Ux	Cortex-M3	DIE412	10	32	1
STM32F103C8Tx	Cortex-M3	DIE410	20	64	1
STM32F103CBTx	Cortex-M3	DIE410	20	128	1
STM32F103CBUx	Cortex-M3	DIE410	20	128	1
STM32F103R4Hx	Cortex-M3	DIE412	6	16	1
STM32F103R4Tx	Cortex-M3	DIE412	6	16	1
STM32F103R6Hx	Cortex-M3	DIE412	10	32	1
STM32F103R6Tx	Cortex-M3	DIE412	10	32	1
STM32F103R8Hx	Cortex-M3	DIE410	20	64	1
STM32F103R8Tx	Cortex-M3	DIE410	20	64	1
STM32F103RBHx	Cortex-M3	DIE410	20	128	1
STM32F103RBTx	Cortex-M3	DIE410	20	128	1
STM32F103RCTx	Cortex-M3	DIE414	48	256	1
STM32F103RCYx	Cortex-M3	DIE414	48	256	1
STM32F103RDTx	Cortex-M3	DIE414	64	384	1
STM32F103RDYx	Cortex-M3	DIE414	64	384	1
STM32F103RETx	Cortex-M3	DIE414	64	512	1
STM32F103REYx	Cortex-M3	DIE414	64	512	1
STM32F103RFTx	Cortex-M3	DIE430	96	768	1
STM32F103RGTx	Cortex-M3	DIE430	96	1024	1
STM32F103T4Ux	Cortex-M3	DIE412	6	16	1
STM32F103T6Ux	Cortex-M3	DIE412	10	32	1
STM32F103T8Ux	Cortex-M3	DIE410	20	64	1
STM32F103TBUx	Cortex-M3	DIE410	20	128	1
STM32F103V8Hx	Cortex-M3	DIE410	20	64	1
STM32F103V8Tx	Cortex-M3	DIE410	20	64	1
STM32F103VBHx	Cortex-M3	DIE410	20	128	1
STM32F103VBIx	Cortex-M3	DIE410	20	128	1
STM32F103VBTx	Cortex-M3	DIE410	20	128	1
STM32F103VCHx	Cortex-M3	DIE414	48	256	1
STM32F103VCTx	Cortex-M3	DIE414	48	256	1
STM32F103VDHx	Cortex-M3	DIE414	64	384	1
STM32F103VDTx	Cortex-M3	DIE414	64	384	1
STM32F103VEHx	Cortex-M3	DIE414	64	512	1
STM32F103VETx	Cortex-M3	DIE414	64	512	1
STM32F103VFTx	Cortex-M3	DIE430	96	768	1
STM32F103VGTx	Cortex-M3	DIE430	96	1024	1
STM32F103ZCHx	Cortex-M3	DIE414	48	256	1
STM32F103ZCTx	Cortex-M3	DIE414	48	256	1
STM32F103ZDHx	Cortex-M3	DIE414	64	384	1
STM32F103ZDTx	Cortex-M3	DIE414	64	384	1
STM32F103ZEHx	Cortex-M3	DIE414	64	512	1
STM32F103ZETx	Cortex-M3	DIE414	64	512	1
STM32F103ZFHx	Cortex-M3	DIE430	96	768	1
STM32F103ZFTx	Cortex-M3	DIE430	96	768	1
STM32F103ZGHx	Cortex-M3	DIE430	96	1024	1
STM32F103ZGTx	Cortex-M3	DIE430	96	1024	1
STM32F105R8Tx	Cortex-M3	DIE418	64	64	1
STM32F105RBTx	Cortex-M3	DIE418	64	128	1
STM32F105RCTx	Cortex-M3	DIE418	64	256	1
STM32F105V8Hx	Cortex-M3	DIE418	64	64	1
STM32F105V8Tx	Cortex-M3	DIE418	64	64	1
STM32F105VBHx	Cortex-M3	DIE418	64	128	1
STM32F105VBTx	Cortex-M3	DIE418	64	128	1
STM32F105VCTx	Cortex-M3	DIE418	64	256	1
STM32F107RBTx	Cortex-M3	DIE418	64	128	1
STM32F107RCTx	Cortex-M3	DIE418	64	256	1
STM32F107VBTx	Cortex-M3	DIE418	64	128	1
STM32F107VCHx	Cortex-M3	DIE418	64	256	1
STM32F107VCTx	Cortex-M3	DIE418	64	256	1
STM32F205RBTx	Cortex-M3	DIE411	64	128	1
STM32F205RCTx	Cortex-M3	DIE411	96	256	1
STM32F205RETx	Cortex-M3	DIE411	128	512	1
STM32F205REYx	Cortex-M3	DIE411	128	512	1
STM32F205RFTx	Cortex-M3	DIE411	128	768	1
STM32F205RGEx	Cortex-M3	DIE411	128	1024	1
STM32F205RGTx	Cortex-M3	DIE411	128	1024	1
STM32F205RGYx	Cortex-M3	DIE411	128	1024	1
STM32F205VBTx	Cortex-M3	DIE411	64	128	1
STM32F205VCTx	Cortex-M3	DIE411	96	256	1
STM32F205VETx	Cortex-M3	DIE411	128	512	1
STM32F205VFTx	Cortex-M3	DIE411	128	768	1
STM32F205VGTx	Cortex-M3	DIE411	128	1024	1
STM32F205ZCTx	Cortex-M3	DIE411	96	256	1
STM32F205ZETx	Cortex-M3	DIE411	128	512	1
STM32F205ZFTx	Cortex-M3	DIE411	128	768	1
STM32F205ZGTx	Cortex-M3	DIE411	128	1024	1
STM32F207ICHx	Cortex-M3	DIE411	128	256	1
STM32F207ICTx	Cortex-M3	DIE411	128	256	1
STM32F207IEHx	Cortex-M3	DIE411	128	512	1
STM32F207IETx	Cortex-M3	DIE411	128	512	1
STM32F207IFHx	Cortex-M3	DIE411	128	768	1
STM32F207IFTx	Cortex-M3	DIE411	128	768	1
STM32F207IGHx	Cortex-M3	DIE411	128	1024	1
STM32F207IGTx	Cortex-M3	DIE411	128	1024	1
STM32F207VCTx	Cortex-M3	DIE411	128	256	1
STM32F207VETx	Cortex-M3	DIE411	128	512	1
STM32F207VFTx	Cortex-M3	DIE411	128	768	1
STM32F207VGTx	Cortex-M3	DIE411	128	1024	1
STM32F207ZCTx	Cortex-M3	DIE411	128	256	1
STM32F207ZETx	Cortex-M3	DIE411	128	512	1
STM32F207ZFTx	Cortex-M3	DIE411	128	768	1
